child,contains,diagnostic_block,overlaps,parent,phase_id,precision_bits,result,run_id
LBOX_P1_S1,True,parent_to_existing_children,True,LBOX_P1,006E55,96,PASS_DIAGNOSTIC,006E55-20260627T161731Z
LBOX_P1_S2,True,parent_to_existing_children,True,LBOX_P1,006E55,96,PASS_DIAGNOSTIC,006E55-20260627T161731Z
LBOX_P1_S3,True,parent_to_existing_children,True,LBOX_P1,006E55,96,PASS_DIAGNOSTIC,006E55-20260627T161731Z
LBOX_P1_S4,True,parent_to_existing_children,True,LBOX_P1,006E55,96,PASS_DIAGNOSTIC,006E55-20260627T161731Z
LBOX_P1_C,True,parent_to_existing_children,True,LBOX_P1,006E55,96,PASS_DIAGNOSTIC,006E55-20260627T161731Z
LBOX_P2_S1,True,parent_to_existing_children,True,LBOX_P2,006E55,96,PASS_DIAGNOSTIC,006E55-20260627T161731Z
LBOX_P2_S2,True,parent_to_existing_children,True,LBOX_P2,006E55,96,PASS_DIAGNOSTIC,006E55-20260627T161731Z
LBOX_P2_S3,True,parent_to_existing_children,True,LBOX_P2,006E55,96,PASS_DIAGNOSTIC,006E55-20260627T161731Z
LBOX_P2_S4,True,parent_to_existing_children,True,LBOX_P2,006E55,96,PASS_DIAGNOSTIC,006E55-20260627T161731Z
LBOX_P2_C,True,parent_to_existing_children,True,LBOX_P2,006E55,96,PASS_DIAGNOSTIC,006E55-20260627T161731Z
LBOX_P3_S1,True,parent_to_existing_children,True,LBOX_P3,006E55,96,PASS_DIAGNOSTIC,006E55-20260627T161731Z
LBOX_P3_S2,True,parent_to_existing_children,True,LBOX_P3,006E55,96,PASS_DIAGNOSTIC,006E55-20260627T161731Z
LBOX_P3_S3,True,parent_to_existing_children,True,LBOX_P3,006E55,96,PASS_DIAGNOSTIC,006E55-20260627T161731Z
LBOX_P3_S4,True,parent_to_existing_children,True,LBOX_P3,006E55,96,PASS_DIAGNOSTIC,006E55-20260627T161731Z
LBOX_P3_C,True,parent_to_existing_children,True,LBOX_P3,006E55,96,PASS_DIAGNOSTIC,006E55-20260627T161731Z
LBOX_P1_CT,True,center_to_tight_children,True,LBOX_P1_C,006E55,96,PASS_DIAGNOSTIC,006E55-20260627T161731Z
LBOX_P2_CT,True,center_to_tight_children,True,LBOX_P2_C,006E55,96,PASS_DIAGNOSTIC,006E55-20260627T161731Z
LBOX_P3_CT,True,center_to_tight_children,True,LBOX_P3_C,006E55,96,PASS_DIAGNOSTIC,006E55-20260627T161731Z
LBOX_P1_CUT,True,tight_to_ultra_tight_children,True,LBOX_P1_CT,006E55,96,PASS_DIAGNOSTIC,006E55-20260627T161731Z
LBOX_P2_CUT,True,tight_to_ultra_tight_children,True,LBOX_P2_CT,006E55,96,PASS_DIAGNOSTIC,006E55-20260627T161731Z
LBOX_P3_CUT,True,tight_to_ultra_tight_children,True,LBOX_P3_CT,006E55,96,PASS_DIAGNOSTIC,006E55-20260627T161731Z
LBOX_P1_CMT,True,ultra_tight_to_micro_tight_children,True,LBOX_P1_CUT,006E55,96,PASS_DIAGNOSTIC,006E55-20260627T161731Z
LBOX_P2_CMT,True,ultra_tight_to_micro_tight_children,True,LBOX_P2_CUT,006E55,96,PASS_DIAGNOSTIC,006E55-20260627T161731Z
LBOX_P3_CMT,True,ultra_tight_to_micro_tight_children,True,LBOX_P3_CUT,006E55,96,PASS_DIAGNOSTIC,006E55-20260627T161731Z
LBOX_P1_CNT,True,micro_tight_to_nano_tight_children,True,LBOX_P1_CMT,006E55,96,PASS_DIAGNOSTIC,006E55-20260627T161731Z
LBOX_P2_CNT,True,micro_tight_to_nano_tight_children,True,LBOX_P2_CMT,006E55,96,PASS_DIAGNOSTIC,006E55-20260627T161731Z
LBOX_P3_CNT,True,micro_tight_to_nano_tight_children,True,LBOX_P3_CMT,006E55,96,PASS_DIAGNOSTIC,006E55-20260627T161731Z
